,name,news_url,image_url,date_scraped,post_date_info,news_category
0,A po plakemi? ASK publikon të dhënat për moshën e popullsisë – rënie e banorëve nga 0-15 vjet,https://telegrafi.com/po-plakemi-ask-publikon-te-dhenat-per-moshen-e-popullsise-renie-e-banoreve-nga-0-15-vjet/,https://telegrafi.com/wp-content/uploads/2024/07/sheshi-380x233.jpg,2024-07-12 12:38:50.171533,28 min,"
Kosovë

|  28 min 
"
1,"Kosova ka 1,586,659 banorë rezidentë",https://telegrafi.com/kosova-ka-1586659-banore-rezidente/,https://telegrafi.com/wp-content/uploads/2024/07/popillsia-lajm1-380x233.png,2024-07-12 12:38:50.171533,2 orë,"
Kosovë

|  2 orë 
"
2,"Mashtrimi në vlerë prej 280 mijë euro për blerjen e një lokali, shkon në katër numri i të arrestuarve në rajonin e Pejës  ",https://telegrafi.com/mashtrimi-ne-vlere-prej-280-mije-euro-per-blerjen-e-nje-lokali-shkon-ne-kater-numri-te-arrestuarve-ne-rajonin-e-pejes/,https://telegrafi.com/wp-content/uploads/2023/11/Policia-Zjarrfiksit-autoambulanta-emergjenca-foto-Ridvan-Slivova-3-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kronika e Zezë

|  3 orë 
"
3,"Arrestohet një person i kërkuar në Shtime, ishte i dënuar për rrezikim të personave me mbrojtje ndërkombëtare dhe vjedhje të shërbimeve",https://telegrafi.com/arrestohet-nje-person-kerkuar-ne-shtime-ishte-denuar-per-rrezikim-te-personave-mbrojtje-nderkombetare-dhe-vjedhje-te-sherbimeve/,https://telegrafi.com/wp-content/uploads/2024/05/arrestim-2-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kronika e Zezë

|  3 orë 
"
4,"Osmani: Është hera e parë në histori që Kosova përfshihet në një Samit të aleancës së shpresës, mirënjohëse ndaj SHBA-së",https://telegrafi.com/osmani-eshte-hera-e-pare-ne-histori-qe-kosova-perfshihet-ne-nje-samit-te-aleances-se-shpreses-mirenjohese-ndaj-shba-se/,https://telegrafi.com/wp-content/uploads/2024/07/450537755_509276225094371_531618679769668418_n-380x233.jpg,2024-07-12 12:38:50.171533,3 orë,"
Kosovë

|  3 orë 
"
5,"I arratisuri Faton Hajrizi shfaqet sërish në TikTok, ka një mesazh për ministrin Sveçla",https://telegrafi.com/arratisuri-faton-hajrizi-shfaqet-serish-ne-tiktok-ka-nje-mesazh-per-ministrin-svecla/,https://telegrafi.com/wp-content/uploads/2024/07/faton-3-380x233.png,2024-07-12 12:38:50.171533,4 orë,"
Kosovë

|  4 orë 
"
6,Sot publikohen rezultatet preliminare të regjistrimit të popullsisë,https://telegrafi.com/sot-publikohen-rezultatet-preliminare-te-regjistrimit-te-popullsise/,https://telegrafi.com/wp-content/uploads/2024/05/Agjencia-e-Statistikave-te-Kosoves-ASK-Regjistrimi-i-Popullsise-foto-Ridvan-Slivova-6-380x233.jpg,2024-07-12 12:38:50.171533,5 orë,"
Kosovë

|  5 orë 
"
7,"Vazhdon vapa e madhe në Kosovë – temperaturat 37 gradë, IHK këshillon edhe për kujdes gjatë vozitjes",https://telegrafi.com/vazhdon-vapa-e-madhe-ne-kosove-temperaturat-mbi-37-grade-ihk-keshillon-edhe-per-kujdes-gjate-vozitjes/,https://telegrafi.com/wp-content/uploads/2024/07/vapa2-380x233.jpg,2024-07-12 12:38:50.171533,5 orë,"
Kosovë

|  5 orë 
"
8,"Kosova ka 1,586,659 banorë rezidentë",https://telegrafi.com/kosova-ka-1586659-banore-rezidente/,https://telegrafi.com/wp-content/uploads/2024/07/popillsia-lajm1-380x233.png,2024-07-12 12:38:50.171533,2 orë,"

Lajme 

|  2 orë 
"
9,"I arratisuri Faton Hajrizi shfaqet sërish në TikTok, ka një mesazh për ministrin Sveçla",https://telegrafi.com/arratisuri-faton-hajrizi-shfaqet-serish-ne-tiktok-ka-nje-mesazh-per-ministrin-svecla/,https://telegrafi.com/wp-content/uploads/2024/07/faton-3-380x233.png,2024-07-12 12:38:50.172532,4 orë,"

Lajme 

|  4 orë 
"
10,"Osmani: Është hera e parë në histori që Kosova përfshihet në një Samit të aleancës së shpresës, mirënjohëse ndaj SHBA-së",https://telegrafi.com/osmani-eshte-hera-e-pare-ne-histori-qe-kosova-perfshihet-ne-nje-samit-te-aleances-se-shpreses-mirenjohese-ndaj-shba-se/,https://telegrafi.com/wp-content/uploads/2024/07/450537755_509276225094371_531618679769668418_n-380x233.jpg,2024-07-12 12:38:50.172532,3 orë,"

Lajme 

|  3 orë 
"
11,"Jo temperaturat, por çmimet 'përvëluese' boshatisin plazhet në Shqipëri",https://telegrafi.com/gati-meskorriku-cmimet-e-djegsta-boshatisin-plazhet-ne-jug-te-shqiperise/,https://telegrafi.com/wp-content/uploads/2024/07/turizmi-1-380x233.jpg,2024-07-12 12:38:50.172532,19 orë,"

Lajme 

|  19 orë 
"
12,"Mashtrimi në vlerë prej 280 mijë euro për blerjen e një lokali, shkon në katër numri i të arrestuarve në rajonin e Pejës",https://telegrafi.com/mashtrimi-ne-vlere-prej-280-mije-euro-per-blerjen-e-nje-lokali-shkon-ne-kater-numri-te-arrestuarve-ne-rajonin-e-pejes/,https://telegrafi.com/wp-content/uploads/2023/11/Policia-Zjarrfiksit-autoambulanta-emergjenca-foto-Ridvan-Slivova-3-380x233.jpg,2024-07-12 12:38:50.172532,3 orë,"

Kronika e Zezë 

|  3 orë 
"
13,Pranohen edhe dy viktima pjesëmarrëse në rastin Thaçi dhe të tjerët,https://telegrafi.com/pranohen-edhe-dy-viktima-pjesemarrese-ne-rastin-thaci-dhe-te-tjeret-2/,https://telegrafi.com/wp-content/uploads/2024/07/auto_auto_thaci16843385251708437290-380x233.jpg,2024-07-12 12:38:50.172532,17 orë,"

Drejtësi 

|  17 orë 
"
14,"Kica – Xhelili: LDK nuk ka vija të kuqe me askënd, por nuk bën koalicion me LVV nëse Albin Kurti propozohet kryeministër",https://telegrafi.com/kica-xhelili-ldk-nuk-ka-vija-te-kuqe-askend-por-nuk-ben-koalicion-lvv-nese-albin-kurti-propozohet-kryeminister/,https://telegrafi.com/wp-content/uploads/2024/07/Dorsa-Kica-380x233.jpg,2024-07-12 12:38:50.172532,14 orë,"
Politikë

|  14 orë 
"
15,"Pavarësisht kritikave të ashpra,  Qeveria arsyeton Ligjin për KPM-në",https://telegrafi.com/perkunder-kritikave-te-ashpra-qeveria-arsyeton-ligjin-per-kpm-ne/,https://telegrafi.com/wp-content/uploads/2024/05/qeveria-llogo-380x233.jpg,2024-07-12 12:38:50.172532,14 orë,"
Kosovë

|  14 orë 
"
16,"Geci: PDK e LVV janë marrë vesh për koalicion, Hamza president – Kurti kryeministër",https://telegrafi.com/geci-pdk-e-lvv-jane-marre-vesh-per-koalicion-hamza-president-kurti-kryeminister/,https://telegrafi.com/wp-content/uploads/2024/07/Gani-Geci-1140x570-1-e1720729831902-380x233.png,2024-07-12 12:38:50.172532,14 orë,"
Politikë

|  14 orë 
"
17,"Stano: BE nuk merr pjesë në hedhjen e fajit mes Serbisë dhe Kosovës, palët t’i përmbushin obligimet",https://telegrafi.com/stano-nuk-merr-pjese-ne-hedhjen-e-fajit-mes-serbise-dhe-kosoves-palet-ti-permbushin-obligimet/,https://telegrafi.com/wp-content/uploads/2024/07/Screenshot_3-39-380x233.jpg,2024-07-12 12:38:50.172532,14 orë,"
Kosovë

|  14 orë 
"
18,"Kica – Xhelili: Qeveria Kurti e ka humbur kartën e Vettingut, s’e kanë idenë se çfarë është Kushtetuta",https://telegrafi.com/kica-xhelili-qeveria-kurti-e-ka-humbur-karten-e-vettingut-se-kane-idene-se-cfare-eshte-kushtetuta/,https://telegrafi.com/wp-content/uploads/2024/07/image-2024-07-11T215907.692-380x233.jpg,2024-07-12 12:38:50.172532,15 orë,"
Kosovë

|  15 orë 
"
19,Kurti: Franca ka qenë ndër miqtë e parë të Kosovës,https://telegrafi.com/kurti-franca-ka-qene-nder-miqte-e-pare-te-kosoves/,https://telegrafi.com/wp-content/uploads/2024/04/Albin-Kurti-deklarate-foto-Ridvan-Slivova-4-e1719650212198-380x233.jpg,2024-07-12 12:38:50.173532,15 orë,"
Kosovë

|  15 orë 
"
20,"Ligji për KPM-në, Kica-Xhelili: Po synohet të ushtrohet kontroll i drejtpërdrejtë mbi mediat në Kosovë",https://telegrafi.com/ligji-per-kpm-ne-kica-xhelili-po-synohet-te-ushtrohet-kontroll-drejtperdrejte-mbi-mediat-ne-kosove/,https://telegrafi.com/wp-content/uploads/2024/07/kica-xhelili-380x233.jpg,2024-07-12 12:38:50.173532,15 orë,"
Kosovë

|  15 orë 
"
21,"Haliti: Me Serbinë nuk po negociojmë për njohje, por për relaksim raportesh",https://telegrafi.com/haliti-serbine-nuk-po-negociojme-per-njohje-por-per-relaksim-raportesh/,https://telegrafi.com/wp-content/uploads/2024/07/Xhavit-Haliti-foto-Ridvan-Slivova-1-e1651157814107-780x439-1-380x233.jpg,2024-07-12 12:38:50.173532,16 orë,"
Politikë

|  16 orë 
"
22,"Kosova ka 1,586,659 banorë rezidentë",https://telegrafi.com/kosova-ka-1586659-banore-rezidente/,https://telegrafi.com/wp-content/uploads/2024/07/popillsia-lajm1-380x233.png,2024-07-12 12:38:50.173532,2 orë,"

Lajme 

|  2 orë 
"
23,"U rrah me tifozë për të shpëtuar familjen e tij në tribuna, Darwin Nunez përballet me një pezullim të gjatë",https://telegrafi.com/u-rrah-tifoze-per-te-shpetuar-familjen-e-tij-ne-tribuna-darwin-nunez-perballet-nje-pezullim-te-gjate/,https://telegrafi.com/wp-content/uploads/2024/07/nunez-2-380x233.jpg,2024-07-12 12:38:50.173532,2 orë,"

Ndërkombëtare 

|  2 orë 
"
24,"I arratisuri Faton Hajrizi shfaqet sërish në TikTok, ka një mesazh për ministrin Sveçla",https://telegrafi.com/arratisuri-faton-hajrizi-shfaqet-serish-ne-tiktok-ka-nje-mesazh-per-ministrin-svecla/,https://telegrafi.com/wp-content/uploads/2024/07/faton-3-380x233.png,2024-07-12 12:38:50.173532,4 orë,"

Lajme 

|  4 orë 
"
25,Pse duhet të vendosni një monedhë në frigorifer sa herë largoheni nga shtëpia? Njerëzit u shokuan kur e mësuan arsyen,https://telegrafi.com/e-dini-pse-duhet-te-vendosni-nje-monedhe-ne-frigorifer-sa-largoheni-nga-shtepia-njerezit-u-shokuan-kur-e-mesuan-arsyen/,https://telegrafi.com/wp-content/uploads/2024/07/monedha1-380x233.jpg,2024-07-12 12:38:50.173532,2 ditë,"

A e dini se... 

|  2 ditë 
"
26,"Djali i tij është sensacioni i Euro 2024, por babai i Yamalit e tepron me deklaratën për Messin",https://telegrafi.com/djali-tij-eshte-sensacioni-euro-2024-por-babai-yamalit-e-tepron-deklaraten-per-messin/,https://telegrafi.com/wp-content/uploads/2024/07/yamal-messi-380x233.png,2024-07-12 12:38:50.173532,16 orë,"

La Liga 

|  16 orë 
"
27,"Zbulohet fituesi i Golden Boy, çmimi do të shkojë në La Liga për të katërtin vit radhazi",https://telegrafi.com/zbulohet-fituesi-golden-boy-cmimi-te-shkoje-ne-la-liga-per-te-katertin-vit-radhazi/,https://telegrafi.com/wp-content/uploads/2024/07/Pedri-Gavi-Bellingham-380x233.jpg,2024-07-12 12:38:50.174532,2 orë,"

La Liga 

|  2 orë 
"
28,"Minatorët shkojnë në minierë, por nuk punojnë – nuk janë paguar për qershorin",https://telegrafi.com/minatoret-shkojne-ne-miniere-por-nuk-punojne-ende-nuk-jane-paguar-per-qershorin/,https://telegrafi.com/wp-content/uploads/2024/06/trepca-1-380x233.jpg,2024-07-12 12:38:50.174532,17 orë,"
Kosovë

|  17 orë 
"
29,Shpresë Mulliqi merr çmimin për kontribut për barazi gjinore nga OSBE-ja,https://telegrafi.com/shprese-mulliqi-merr-cmimin-per-kontribut-per-barazi-gjinore-nga-osbe-ja/,https://telegrafi.com/wp-content/uploads/2024/07/Shprese-Mulliqi-380x233.jpg,2024-07-12 12:38:50.174532,17 orë,"
Kosovë

|  17 orë 
"
30,Osmani nderon ushtarët amerikanë që sakrifikuan jetën në shërbim të lirisë,https://telegrafi.com/osmani-nderon-ushtaret-amerikane-qe-sakrifikuan-jeten-ne-sherbim-te-lirise/,https://telegrafi.com/wp-content/uploads/2024/07/450483457_1019366432881229_4896889258677014864_n-380x233.jpg,2024-07-12 12:38:50.174532,17 orë,"
Kosovë

|  17 orë 
"
31,NATO shpreh shqetësim: Ka mundësi për përkeqësim të situatës së sigurisë në Kosovë,https://telegrafi.com/nato-shpreh-shqetesim-ka-mundesi-per-perkeqesim-te-situates-se-sigurise-ne-kosove/,https://telegrafi.com/wp-content/uploads/2024/07/ushtaret-kfor-380x233.jpg,2024-07-12 12:38:50.174532,17 orë,"
Siguri

|  17 orë 
"
32,Pranohen edhe dy viktima pjesëmarrëse në rastin Thaçi dhe të tjerët,https://telegrafi.com/pranohen-edhe-dy-viktima-pjesemarrese-ne-rastin-thaci-dhe-te-tjeret-2/,https://telegrafi.com/wp-content/uploads/2024/07/auto_auto_thaci16843385251708437290-380x233.jpg,2024-07-12 12:38:50.175531,17 orë,"
Drejtësi

|  17 orë 
"
33,"Lajçak në Londër, me Peach dhe Ashton flasin për të ardhmen e Ballkanit Perëndimor",https://telegrafi.com/lajcak-ne-londer-per-te-marre-qendrimet-e-qeverise-se-re-per-ballkanin-perendimor/,https://telegrafi.com/wp-content/uploads/2024/07/lajckakkk-380x233.jpg,2024-07-12 12:38:50.175531,18 orë,"
Kosovë

|  18 orë 
"
34,"U dënuan me nga dy vite burgim, çka përmban dosja e prokurorisë për Begajn e Hasanin?",https://telegrafi.com/u-denuan-nga-dy-vite-burgim-cka-permban-dosja-e-prokurorise-per-begajn-e-hasanin/,https://telegrafi.com/wp-content/uploads/2024/07/bajraa-380x233.jpg,2024-07-12 12:38:50.175531,18 orë,"
Drejtësi

|  18 orë 
"
